k,E_ux,E_uy,E_uz
271.0,0.09057671025097151,0.09346458958787421,0.09538495127270458
272.0,0.09011909848606871,0.09303852134086338,0.09463793507907539
273.0,0.0888019395080101,0.09153773355343248,0.09373342095504389
274.0,0.087670987665811,0.09046325363893223,0.09253240772535311
275.0,0.08644458007963264,0.08912478142589252,0.09138825823773236
276.0,0.08548621710816087,0.08831990716320111,0.09042695954567627
277.0,0.08480237597132664,0.08757253194940662,0.08985118971792035
278.0,0.08335393204123415,0.08596764729481154,0.08844014241520545
279.0,0.08219914929055533,0.08502914610565102,0.0873307620427968
280.0,0.0817638554851382,0.08472645558808466,0.08693743643766709
281.0,0.0804988275571505,0.08292788240444052,0.08559962224592224
