k,Es1,Es2,Es3
48.0,0.012123131449202684,0.01227442151996989,0.012151412540507982
49.0,0.011514190364270161,0.011518299735408105,0.011371118985065995
50.0,0.010882758583606466,0.010735954429005583,0.010637624719623293
51.0,0.00993724634523732,0.00992350429680217,0.009790496081342612
52.0,0.009483610058537754,0.009580374974453762,0.00958935737643959
53.0,0.008990528731575438,0.008921822896099385,0.00893192407415275
54.0,0.008295202135248292,0.008327390878223576,0.008358871133745203
55.0,0.007901832146845186,0.007903357796775423,0.007771865612644701
56.0,0.0073211927288842375,0.007498475615899502,0.007490841808505457
57.0,0.007052860274800037,0.0072015048797085535,0.007139636728981458
58.0,0.006578524763959723,0.006586164182329439,0.006556032136852126
59.0,0.00623038069247563,0.0061910541439221005,0.006258703444362924
60.0,0.005972178478292092,0.005960701524192913,0.005970650062174674
61.0,0.005584067993617913,0.0056299230782872346,0.0055067518756272945
62.0,0.005345808172401273,0.0053588701976548855,0.0052558720040567115
63.0,0.0049318168274587754,0.004914807654261603,0.004926285786102553
64.0,0.004768113471797324,0.00479700109243592,0.004694116056406603
65.0,0.004548966083266639,0.00463287865377925,0.004565010604483732
66.0,0.004223664520165046,0.004270756840078673,0.004203355675884312
67.0,0.004045862707041837,0.0040913297261686654,0.004070623842273824
68.0,0.003828014904149485,0.003835443955330597,0.0038075147744301126
69.0,0.0037365594140783276,0.003738731802631805,0.0036845527045448814
70.0,0.003453648744301644,0.00348523831641003,0.003460535350253952
71.0,0.003299422565084804,0.003259547426077493,0.003305063927089588
72.0,0.0031739771876409958,0.0032021409799358777,0.003205165839048318
73.0,0.0030067958406562443,0.0030120864478752583,0.002991541178271407
74.0,0.002913502380191245,0.0029094839616002747,0.002876167738387451
75.0,0.0027081488966571735,0.002752402155343531,0.0027221587610578423
76.0,0.002611466424084136,0.002642648518523095,0.0026004372532331425
77.0,0.0024806816774296018,0.002532104684050275,0.0025063451774998374
78.0,0.0023600314360254994,0.0023501017020687125,0.00235536248451681
79.0,0.00228986445921397,0.002276974173574343,0.002276713130911694
80.0,0.00215606911122349,0.0021847847409825227,0.0021396947513458425
81.0,0.002073315767628135,0.0021141404528678305,0.002058253094368597
82.0,0.001977227530859039,0.0019866424456443954,0.0019924527369548028
83.0,0.0019001811683839879,0.0019053178767679964,0.0018990294597443196
84.0,0.0018285515530185618,0.0018131795958996574,0.001818381520123362
85.0,0.0017548911357225573,0.0017687060541155158,0.0017507358913788614
86.0,0.0016814281742406532,0.0016813903727796273,0.0016780787272513433
87.0,0.0015921877192306996,0.0016158674665900546,0.001584511839395172
88.0,0.0015228839551922363,0.0015478919136797035,0.0015330328250138749
89.0,0.0014785632610125898,0.0014753932234278055,0.001457736315617316
90.0,0.0014167876811867373,0.0014457213163914964,0.0014275954750640398
91.0,0.001347915800730785,0.0013591309459946215,0.0013512149124824933
92.0,0.0013066040445196395,0.0013155397664344481,0.0013009492506971926
93.0,0.0012566018014682214,0.001260387995782797,0.0012475958875662768
94.0,0.0011976967481745846,0.0012049708929621084,0.0011983581262053184
95.0,0.0011471632600096968,0.00115757547123395,0.001146522738355306
96.0,0.0011198925853172072,0.00112121899823912,0.0011174650593967386
97.0,0.001073548466247254,0.0010798988566906858,0.0010753861629746414
98.0,0.0010426689013847,0.0010615795288232712,0.0010488267086388315
99.0,0.0009821221088306452,0.000984338520109587,0.00098076715120252
100.0,0.0009560718038871304,0.0009625150394105935,0.0009543857264987655
101.0,0.0009280896452599504,0.0009275746112756451,0.0009229872372772666
102.0,0.000887668605777806,0.0009036943081586939,0.0008864480376085116
103.0,0.0008565698732403716,0.0008640807854532626,0.0008612221944787296
104.0,0.0008124547423030404,0.0008190506166639956,0.0008086573900063609
105.0,0.0008084206008737554,0.0008149523324109027,0.0008039050301760707
106.0,0.0007659548230325508,0.000769505445490572,0.0007656264831383818
107.0,0.0007424125302446566,0.000745206045478663,0.000743902628650054
108.0,0.0007108108319944945,0.0007177492856513922,0.0007143478369016649
109.0,0.0006969631653160024,0.0007040657802594667,0.0006995889939236102
110.0,0.0006709370272895497,0.0006702138410567426,0.0006699859761022771
