k,E_Jx,E_Jy,E_Jz
79.0,1.137607311866727e-53,4.3556146517785465e-52,1.0175333046333893e-52
80.0,3.314416756890573e-54,1.4220339955816905e-52,2.8446037199725797e-53
81.0,5.984321828882328e-55,1.1886222373905177e-53,8.001796632238331e-55
82.0,1.0810840045658868e-55,3.590661294557398e-54,1.3574844175326725e-55
83.0,2.595134434037518e-56,2.3371447541655616e-55,1.5522393368298034e-56
84.0,2.010915680582511e-57,9.453935202994675e-57,7.893510901372085e-57
85.0,3.448740948265166e-58,5.537972962265472e-58,9.808129200695857e-58
86.0,8.95285102084438e-59,1.6845586619154773e-58,1.4530387296025556e-58
87.0,1.982875786862119e-58,9.222650160620924e-59,9.3772277866313e-59
88.0,1.1867239288070724e-58,2.678096625289603e-59,8.079006171162063e-59
89.0,7.955354227677251e-60,5.826216390653384e-60,6.54197544161196e-58
90.0,1.6966790204498586e-60,5.3435967207501455e-61,3.951996519867703e-59
91.0,2.001566976410024e-61,2.023217607239564e-61,3.567841705077207e-60
92.0,8.118026234171046e-61,8.011924725533495e-61,9.844012105327511e-60
93.0,1.347515509473374e-61,1.3475528849500597e-61,3.1611848998317523e-60
94.0,6.742812631976037e-64,9.443421455737552e-64,2.927172243053092e-63
95.0,1.854751976029377e-64,4.690768343148026e-64,1.4607702087757608e-63
96.0,1.6514147218786416e-64,4.532104431998506e-64,1.4372044234736736e-63
97.0,1.6236568486461258e-64,4.664356560148409e-64,1.3874052877881942e-63
98.0,1.732720106991383e-64,4.8172686459142434e-64,1.345785830791652e-63
99.0,1.8149925952477355e-64,4.844410024578762e-64,1.3718518223799515e-63
100.0,1.780261811052455e-64,4.958657216004119e-64,1.3532630053675757e-63
101.0,1.833981876979229e-64,5.029336216807955e-64,1.3884056704082913e-63
102.0,1.873358864803723e-64,5.127675311704748e-64,1.417913265141894e-63
103.0,1.9622393812663866e-64,5.2957882461166704e-64,1.3521724145799726e-63
104.0,1.9156194094690534e-64,5.2640044647213935e-64,1.419874495501018e-63
105.0,1.9969790082900554e-64,5.435428244549924e-64,1.3913141341699345e-63
106.0,2.0538708112703117e-64,5.4758363587917806e-64,1.5102503288153785e-63
107.0,2.122748453418862e-64,5.637705673578753e-64,1.4952719528477964e-63
108.0,2.1744341638933807e-64,5.8626704157519635e-64,1.5026767465512603e-63
109.0,2.4722875484410767e-64,6.298595485322284e-64,1.5865883333478808e-63
110.0,2.5015060909730304e-64,6.379068837993003e-64,1.6012715205732113e-63
111.0,2.6720540502532013e-64,6.516350160028047e-64,1.603033407861455e-63
112.0,2.7673731635489188e-64,6.570402888965535e-64,1.598080855486444e-63
113.0,2.71695323210226e-64,6.806865046142755e-64,1.6149545411729405e-63
114.0,2.9950753942962365e-64,6.959035011644054e-64,1.6624498930385356e-63
115.0,3.0210815480026006e-64,7.389557147129944e-64,1.6841932899212765e-63
116.0,3.2805792249892886e-64,7.451496663347378e-64,1.7392972533473797e-63
117.0,3.669238010574108e-64,7.996003469124529e-64,1.7741401949217075e-63
118.0,4.1155955002284e-64,8.529403268774188e-64,1.8774628196367482e-63
119.0,4.511706788487805e-64,8.727377646525741e-64,1.9272042390585026e-63
120.0,4.249828615710179e-64,9.04033820571102e-64,1.92548094777066e-63
121.0,4.392299312931403e-64,9.163133107748142e-64,1.9794566460841909e-63
122.0,4.527518590689118e-64,9.476063707558875e-64,1.9948032291214537e-63
123.0,5.5528340572629185e-64,1.0276368249417188e-63,2.124350106494267e-63
124.0,5.698222707451468e-64,1.025070514234465e-63,2.2062440081934878e-63
125.0,6.0628241317457426e-64,1.1030832234720667e-63,2.1428751742323753e-63
126.0,5.714658180424016e-64,1.060839901221254e-63,2.1628388006185855e-63
127.0,5.332207375074677e-64,1.0450786715018367e-63,2.2818647294399246e-63
128.0,5.722827973369424e-64,1.0899834762732516e-63,2.1970400219168638e-63
129.0,4.679136597827676e-64,1.0077155148242293e-63,1.9981179928973094e-63
130.0,5.221999414275857e-64,1.058386740489866e-63,2.0903875859562706e-63
131.0,5.2861599704586066e-64,1.0760171649050198e-63,2.175283390077788e-63
132.0,5.492233124710673e-64,1.116857879799858e-63,2.231585357167377e-63
133.0,5.7614978248027064e-64,1.1189741735596269e-63,2.0084749348814864e-63
134.0,6.198727150801207e-64,1.1830642177051649e-63,2.2638240286832844e-63
135.0,5.8613811781769946e-64,1.1521161657201387e-63,2.21850016171158e-63
136.0,5.4084160673687076e-64,1.1258888377800705e-63,2.1270675970283441e-63
137.0,5.50388329678642e-64,1.1710309555133783e-63,2.1703361711692183e-63
